site,area,recording_area,lat,long,offshore,region,subregion
Bearsted,,Kent,51.274,0.579,,England,South East
Beaulieu Road Station,,Hampshire,50.856,-1.503,,England,South East
Beaverdyke Reservoir,,Yorkshire,53.986,-1.659,,England,North East
Bebington,,Cheshire & Wirral,53.352,-3.005,,England,North West
Beckbrow,,Cumbria,54.908,-3.219,,England,North West
Beddgelert,,Caernarfonshire,53.012,-4.103,,Wales,North Wales
Beddington Sewage Farm,,Greater London,51.384,-0.146,,England,South East
Beddmanarch Bay,,Anglesey,53.296,-4.587,,Wales,North Wales
Bedford Sewage Farm,,Bedfordshire,52.135,-0.417,,England,Home Counties
Bedgebury,,Kent,51.072,0.448,,England,South East
Bedminster,,Avon,51.438,-2.600,,England,South West
Beehive Inn,,County Wicklow,52.953,-6.096,,Ireland,Republic of Ireland
Beeley,,Derbyshire,53.204,-1.605,,England,East Midlands
Beenham,,Berkshire,51.415,-1.153,,England,Home Counties
Beer Head,,Devon,50.686,-3.096,,England,South West
Beesands Ley,,Devon,50.258,-3.658,,England,South West
Beesands Ley/Slapton Ley,,Devon,50.268,-3.655,,England,South West
Beeston,,Norfolk,52.937,1.228,,England,East Anglia
Beeston Weir,,Nottinghamshire,52.912,-1.195,,England,East Midlands
Beinn Bhreac-liath,,Argyll,56.467,-4.757,,Scotland,Central Belt
Beinn Udlaidh,,Argyll,56.459,-4.792,,Scotland,Central Belt
Beinn Udlaidh/Beinn Bhreac-liath,,Argyll,56.463,-4.775,,Scotland,Central Belt
Beith,,Clyde,55.753,-4.633,,Scotland,Central Belt
Belclare Turlough,,County Galway,53.492,-8.934,,Ireland,Republic of Ireland
Belderra,Mullet Peninsula,County Mayo,54.210,-10.060,,Ireland,Republic of Ireland
Belfast Dump,,County Down,54.614,-5.951,,Ireland,Northern Ireland
Belfast Harbour Estate,,County Down,54.620,-5.893,,Ireland,Northern Ireland
Belfast Lough,,County Down,54.698,-5.781,,Ireland,Northern Ireland
Belfast Lough/Belfast North Foreshore,,County Down,54.669,-5.842,,Ireland,Northern Ireland
Belfast Lough/Kinnegar,,County Down,54.668,-5.815,,Ireland,Northern Ireland
Belfast North Foreshore,,County Antrim,54.639,-5.903,,Ireland,Northern Ireland
Belford,,Northumberland,55.599,-1.829,,England,North East
Belgooley,,County Cork,51.737,-8.482,,Ireland,Republic of Ireland
Belhaven Bay,,Lothian,56.005,-2.553,,Scotland,South East Scotland
Belhaven Bay/Tyninghame Bay/Kinneil Lagoon/Port Seton,,Lothian,55.994,-3.031,,Scotland,South East Scotland
Bellingham,,Northumberland,55.144,-2.256,,England,North East
Belmont,Unst,Shetland,60.688,-0.967,1,Scotland,Shetland
Belmullet,,County Mayo,54.224,-9.988,,Ireland,Republic of Ireland
Belper,,Derbyshire,53.024,-1.478,,England,East Midlands
Belsay,,Northumberland,55.103,-1.842,,England,North East
Belvide Reservoir,,Staffordshire,55.690,-2.204,,England,West Midlands
Belvide Reservoir/Blithfield Reservoir,,Staffordshire,54.252,-2.055,,England,West Midlands
Bembridge,,Isle of Wight,50.686,-1.083,1,England,South East
Bembridge/Foreland,,Isle of Wight,50.685,-1.092,1,England,South East
Bempton,,Yorkshire,54.148,-0.169,,England,North East
Bempton/Hunmanby Gap,,Yorkshire,54.163,-0.218,,England,North East
Ben a'Bhuird,,Highland,57.083,-3.496,,Scotland,Scottish Highlands
Ben Avon,,Highland,57.083,-3.450,,Scotland,Scottish Highlands
Ben Hutig,,Highland,58.552,-4.514,,Scotland,Scottish Highlands
Ben Macdui,,Highland,57.070,-3.669,,Scotland,Scottish Highlands
Ben Macdui/Cairngorm/Ben Avon/Ben a'Bhuird/Carn Sgulain/A'bhuidheanach Bheag,,Highland,56.987,-4.024,,Scotland,Scottish Highlands
Benacre,,Suffolk,52.399,1.693,,England,East Anglia
Benacre then Suffolk Coast,,Suffolk,52.281,1.638,,England,East Anglia
Benbecula (general),Benbecula,Outer Hebrides,57.448,-7.303,1,Scotland,Hebrides
Bendherg Bay,,County Down,54.312,-5.533,,Ireland,Northern Ireland
Benfleet,,Essex,51.544,0.566,,England,East Anglia
Bennachie Hills,,North-east Scotland,57.287,-2.566,,Scotland,North East Scotland
Bennett Boathouse,Bryher,Isles of Scilly,49.949,-6.351,1,England,South West
Beorgs o Uyea,Mainland,Shetland,60.587,-1.385,1,Scotland,Shetland
Beorgs o Uyea/Ronas Hill,Mainland,Shetland,60.561,-1.416,1,Scotland,Shetland
Bere Ferrers,,Devon,50.452,-4.170,,England,South West
Bere Island,,County Cork,51.632,-9.865,,Ireland,Republic of Ireland
Bere Regis,,Dorset,50.752,-2.217,,England,South West
Bergaroo,,Fair Isle,59.550,-1.616,1,Scotland,Shetland
Berkeley Power Station,,Gloucestershire,51.691,-2.458,,England,Severn Valley
Berkhamsted,,Buckinghamshire,51.761,-0.565,,England,Home Counties
Berneray,,Outer Hebrides,57.722,-7.171,1,Scotland,Hebrides
Berney Marshes,,Norfolk,52.585,1.637,,England,East Anglia
Berriedale Water,,Highland,58.189,-3.496,,Scotland,Scottish Highlands
Berrow,,Somerset,51.267,-3.018,,England,South West
Berry Fen,,Cambridgeshire,52.335,-0.006,,England,East Anglia
Berry Head,,Devon,50.401,-3.483,,England,South West
Beryl Field,,At sea,59.616,1.517,1,,
Besthorpe,,Nottinghamshire,53.167,-0.778,,England,East Midlands
Bestwood,,Nottinghamshire,53.026,-1.179,,England,East Midlands
Bettisfield Pools,,Flintshire,52.912,-2.805,,Wales,North Wales
Bettyhill,,Highland,58.526,-4.222,,Scotland,Scottish Highlands
Between Ardmore and Whiting Bay,,County Waterford,51.952,-7.749,,Ireland,Republic of Ireland
Between Avoch and Munlochy,,Highland,57.556,-4.198,,Scotland,Scottish Highlands
Between Bere Regis and Wareham,,Dorset,50.721,-2.161,,England,South West
Between Blairmore and Sandwood Bay,,Highland,58.515,-5.073,,Scotland,Scottish Highlands
Between Cairngorm and Ben Macdui,,Highland,57.071,-3.640,,Scotland,Scottish Highlands
Between Crail and Wormiston,,Fife,56.269,-2.624,,Scotland,South East Scotland
Between East Ilsley and Blewbury,,Oxfordshire,51.547,-1.262,,England,Home Counties
Between Horsey and Waxham,,Norfolk,52.763,1.630,,England,East Anglia
Between Instow and Yelland,,Devon,51.062,-4.166,,England,South West
Between Lamorna and Mousehole,,Cornwall,50.075,-5.555,,England,South West
Between Margate and Broadstairs,,Kent,51.373,1.411,,England,South East
Between Port St Mary and Port Erin,,Isle of Man,54.081,-4.748,1,,
Between Skelberry and Boddam,Mainland,Shetland,60.138,-1.218,1,Scotland,Shetland
Between Snape and Sudbourne,,Suffolk,52.146,1.513,,England,East Anglia
Between Stone Cliff and Iden,,Kent,50.994,0.745,,England,South East
Between Tresco and St Martin's,,Isles of Scilly,49.960,-6.308,1,England,South West
Between Warminster and Shaftesbury,,Wiltshire,51.105,-2.189,,England,Home Counties
Between Whalsay and Fetlar,,Shetland,60.479,-0.920,1,Scotland,Shetland
Bevercotes Park,,Nottinghamshire,53.248,-0.953,,England,East Midlands
