Start,End,midLat,midLong
Icklesham,Pett Level,50.903,0.677
Iken,Snape,52.161,1.507
Incleborough Hill,Dersingham,52.884,0.865
Inishbofin,Tory Island,54.448,-9.24
Inishkea North,Annagh Head,54.189,-10.151
Inishkea North,Inishkea South,54.126,-10.209
Garrison,Golf Course (St Mary's),49.92,-6.315
Juliet's Garden,Borough Farm (St Mary's),49.927,-6.302
Jumbles Reservoir,Wayoh Reservoir,53.636,-2.404
Kelling,Salthouse,52.949,1.106
Keyhaven Marshes,Pennington Marshes,50.727,-1.556
Kenilworth,Draycote Water,52.337,-1.453
Kennack Sands,Cadgwith,49.997,-5.173
Kergord,Tresta,60.432,-1.091
Kilcoole,Newcastle (Ireland),53.09,-6.061
Killington Reservoir,Fisher Tarn,54.322,-2.66
Kilmoulaig,Loch Bhasapol,56.514,-6.926
Kilnsea,Easington,53.637,0.126
Kilnsea,Sammy's Point,53.626,0.121
Kingsbarns,Cambo Sands,56.3,-2.64
Kingsdown,Samphire Hoe Country Park,51.145,1.339
Kingsteignton,Bowling Green Marsh,50.611,-3.528
Kinnegar,Belfast Lough,54.668,-5.815
Kinsale,Nohoval,51.709,-8.451
Kirby-le-Soken,The Naze,51.861,1.253
Kirk Sound,St Mary's Bay,58.892,-2.899
Kirkby-on-Bain Gravel Pits,Coningsby,53.117,-0.163
Knott End-on-Sea,Hodbarrow,54.065,-3.127
Lackford Lakes,Cavenham Gravel Pits,52.311,0.614
Lackford Lakes,Icklingham,52.316,0.621
Lady Island's Lake,Carnsore Point,52.186,-6.377
Lady Island's Lake,Nethertown,52.191,-6.375
Lady Island's Lake,Tacumshin,52.198,-6.424
Lakenheath,Hockwold Washes,52.45,0.511
Lamba Ness,Skaw,60.821,-0.78
Langstone Harbour,Farlington Marshes,50.824,-1.024
Leighton Moss,Carnforth,54.148,-2.784
Leighton Moss,Frodsham,53.729,-2.757
Lera Voe,Voe of Footabrough,60.222,-1.624
Lerwick,Bressay (general),60.153,-1.119
Lerwick,Whalsay,60.254,-1.066
Lighthouse,Parsonage,49.893,-6.345
Tetney,Gibraltar Point,53.306,0.174
Linstock,Aglonby,54.909,-2.878
Little Arthur Farm,Chapel Down,49.962,-6.272
Little Bay,Tresco (general),49.962,-6.312
Little Crosby,Great Altcar,53.529,-3.024
Littlestone,Dungeness,50.952,0.964
Great Livermere,Troston,52.312,0.773
Llanelli,Penclawdd,51.656,-4.121
Llanelli,Sandy Water Park,51.675,-4.16
Llanfwrog,Alaw Estuary,53.315,-4.549
Loaningfoot,Southerness,54.964,-3.583
Loch Gruinart,Loch Gorm,55.826,-6.376
Loch of Belmont,Sand Water,60.64,-1.064
Loch of Brow,Ringasta,59.92,-1.319
Loch of Hillwell,Brake,59.912,-1.33
Loch of Spiggie,Loch of Hillwell,59.922,-1.333
Loch of Swartmill,Papa Westray,59.326,-2.908
Loch Ordais,Port Mhor Bragar,58.344,-6.641
Loch Smercleit,Loch na Bagh,57.115,-7.377
Lodmoor,Radipole Lake,50.624,-2.449
Lodmoor,The Fleet,50.627,-2.491
Long Drag Pool,Dorman's Pool,54.611,-1.204
Long Drag Pool,Reclamation Pond,54.611,-1.198
